Date : 2023-08-02 18:26:12
Directory : /Users/williamrhoda/Documents/Code/Projects/skenestunts_production
Total : 151 files,  27883 codes, 33166 comments, 5310 blanks, all 66359 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     17,674 |          0 |          4 |     17,678 |
| JavaScript |         78 |      7,308 |        929 |      4,374 |     12,611 |
| CSS        |         20 |      2,510 |        238 |        823 |      3,571 |
| XML        |         45 |        257 |          0 |         20 |        277 |
| Python     |          1 |         70 |     31,997 |         33 |     32,100 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         26 |          2 |         22 |         50 |
| SQL        |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        151 |     27,883 |     33,166 |      5,310 |     66,359 |
| . (Files)                                                                                                                          |          4 |     17,668 |          0 |         36 |     17,704 |
| public                                                                                                                             |          5 |        116 |          2 |         26 |        144 |
| public (Files)                                                                                                                     |          2 |         51 |          2 |         23 |         76 |
| public/favicons                                                                                                                    |          3 |         65 |          0 |          3 |         68 |
| server                                                                                                                             |          8 |      1,058 |     32,177 |        707 |     33,942 |
| server (Files)                                                                                                                     |          3 |        393 |     32,032 |        201 |     32,626 |
| server/handlers                                                                                                                    |          5 |        665 |        145 |        506 |      1,316 |
| src                                                                                                                                |        134 |      9,041 |        987 |      4,541 |     14,569 |
| src (Files)                                                                                                                        |          9 |        523 |         38 |        274 |        835 |
| src/components                                                                                                                     |         67 |      6,144 |        717 |      3,221 |     10,082 |
| src/components (Files)                                                                                                             |         19 |      1,054 |        190 |        659 |      1,903 |
| src/components/AdminTools                                                                                                          |         22 |      3,108 |        305 |      1,543 |      4,956 |
| src/components/ContactComponents                                                                                                   |         14 |      1,463 |        175 |        728 |      2,366 |
| src/components/ContactComponents (Files)                                                                                           |          4 |        416 |         63 |        248 |        727 |
| src/components/ContactComponents/FormPages                                                                                         |         10 |      1,047 |        112 |        480 |      1,639 |
| src/components/FormFunctions                                                                                                       |         12 |        519 |         47 |        291 |        857 |
| src/images                                                                                                                         |         42 |        210 |          0 |         18 |        228 |
| src/pages                                                                                                                          |         16 |      2,164 |        232 |      1,028 |      3,424 |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/README.md                                                       | Markdown   |         38 |          0 |         33 |         71 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/package-lock.json                                               | JSON       |     17,581 |          0 |          1 |     17,582 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/package.json                                                    | JSON       |         49 |          0 |          1 |         50 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/browserconfig.xml                               | XML        |          9 |          0 |          1 |         10 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/safari-pinned-tab.svg                           | XML        |         37 |          0 |          1 |         38 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/favicons/site.webmanifest                                | JSON       |         19 |          0 |          1 |         20 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/index.html                                               | HTML       |         26 |          2 |         22 |         50 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/public/manifest.json                                            | JSON       |         25 |          0 |          1 |         26 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/schema_dump.sql                                                 | SQL        |          0 |          0 |          1 |          1 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/connection.js                                            | JavaScript |        264 |          1 |        132 |        397 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/get-pip.py                                               | Python     |         70 |     31,997 |         33 |     32,100 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/auth.js                                         | JavaScript |        124 |         20 |        103 |        247 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/database.js                                     | JavaScript |        201 |         58 |        152 |        411 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/email.js                                        | JavaScript |        157 |         12 |         71 |        240 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/images.js                                       | JavaScript |        135 |          7 |         87 |        229 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/handlers/posters.js                                      | JavaScript |         48 |         48 |         93 |        189 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/server/server.js                                                | JavaScript |         59 |         34 |         36 |        129 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.css                                                     | CSS        |        242 |          8 |         86 |        336 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.js                                                      | JavaScript |        238 |         26 |        159 |        423 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/App.test.js                                                 | JavaScript |          7 |          0 |          2 |          9 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminButtons.js                       | JavaScript |         88 |         14 |         54 |        156 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentInfo.js                   | JavaScript |         66 |          2 |         31 |         99 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentMedia.js                  | JavaScript |         70 |          3 |         38 |        111 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentMisc.js                   | JavaScript |         24 |          2 |         37 |         63 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentPerformers.js             | JavaScript |        386 |         18 |        136 |        540 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentPosters.js                | JavaScript |         35 |          3 |         20 |         58 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentProfile.js                | JavaScript |        103 |          6 |         44 |        153 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentReels.js                  | JavaScript |         56 |          2 |         32 |         90 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminContentTeam.js                   | JavaScript |        128 |         13 |         62 |        203 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormClips.js                     | JavaScript |         63 |          2 |         56 |        121 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormFAQ.js                       | JavaScript |        107 |          3 |         62 |        172 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormInfo.js                      | JavaScript |         32 |          2 |         19 |         53 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormMedia.js                     | JavaScript |        157 |          8 |         82 |        247 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormMisc.js                      | JavaScript |         88 |         13 |         74 |        175 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormPerformers.js                | JavaScript |        336 |         56 |        155 |        547 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormQuote.js                     | JavaScript |         78 |          7 |         58 |        143 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormReels.js                     | JavaScript |         98 |          6 |         69 |        173 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminFormTeam.js                      | JavaScript |        495 |         38 |        202 |        735 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminPerformerFunctions.js            | JavaScript |        122 |         28 |         84 |        234 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminPosterBarn.js                    | JavaScript |         98 |         37 |         80 |        215 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminTools.css                        | CSS        |        411 |         39 |        123 |        573 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/AdminTools/AdminView.js                          | JavaScript |         67 |          3 |         25 |         95 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Construction.css                                 | CSS        |         25 |          0 |         12 |         37 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Construction.js                                  | JavaScript |         23 |          3 |         28 |         54 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/ContactEmail.js                | JavaScript |        128 |         13 |         75 |        216 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/ContactOptions.js              | JavaScript |         33 |          5 |         26 |         64 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/ContactPerformer.js            | JavaScript |        121 |         27 |         66 |        214 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/ContactProducer.js             | JavaScript |        134 |         18 |         81 |        233 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page10_wrappingUp.js | JavaScript |        165 |         33 |        102 |        300 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page1_contact.js     | JavaScript |        115 |         12 |         68 |        195 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page2_appearance.js  | JavaScript |        323 |         25 |         98 |        446 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page3_skills1.js     | JavaScript |         60 |          6 |         33 |         99 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page4_skills2.js     | JavaScript |         66 |          6 |         30 |        102 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page5_skills3.js     | JavaScript |         76 |          6 |         30 |        112 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page6_skills4.js     | JavaScript |         64 |          6 |         30 |        100 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page7_skills5.js     | JavaScript |         56 |          6 |         31 |         93 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page8_skills6.js     | JavaScript |         70 |          6 |         31 |        107 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ContactComponents/FormPages/page9_driving.js     | JavaScript |         52 |          6 |         27 |         85 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/ErrorBoundary.js                                 | JavaScript |         16 |          0 |         32 |         48 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FacebookFeed.js                                  | JavaScript |         35 |          9 |         33 |         77 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Checkbox.js                        | JavaScript |         19 |          2 |         14 |         35 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/DatePicker.js                      | JavaScript |         30 |          2 |         21 |         53 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/FileUploader.js                    | JavaScript |         45 |          2 |         23 |         70 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Form.css                           | CSS        |        214 |         21 |         63 |        298 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/IndicatorLED.css                   | CSS        |          4 |          0 |          6 |         10 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/IndicatorLED.js                    | JavaScript |         12 |          4 |         17 |         33 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/NumericalDropdown.js               | JavaScript |         32 |          4 |         31 |         67 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Slider.js                          | JavaScript |         18 |          1 |         20 |         39 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/StringDropdown.js                  | JavaScript |         30 |          4 |         25 |         59 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/TextArea.js                        | JavaScript |         47 |          3 |         24 |         74 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/TextField.js                       | JavaScript |         48 |          2 |         25 |         75 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/FormFunctions/Toggle.js                          | JavaScript |         20 |          2 |         22 |         44 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Header.css                                       | CSS        |        115 |          6 |         24 |        145 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Header.js                                        | JavaScript |        113 |         62 |        104 |        279 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/HelpLink.css                                     | CSS        |         12 |          0 |          7 |         19 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/HelpLink.js                                      | JavaScript |         11 |          3 |         18 |         32 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Loader.css                                       | CSS        |         22 |          0 |          7 |         29 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Loader.js                                        | JavaScript |          9 |          2 |         14 |         25 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/NavBar.css                                       | CSS        |        171 |          3 |         32 |        206 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/NavBar.js                                        | JavaScript |        108 |         12 |         71 |        191 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Notification.css                                 | CSS        |         37 |          0 |         13 |         50 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Notification.js                                  | JavaScript |         26 |          3 |         14 |         43 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/PasswordChecker.js                               | JavaScript |        142 |         28 |         93 |        263 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/PasswordForm.css                                 | CSS        |         26 |          0 |         14 |         40 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/PasswordReset.js                                 | JavaScript |        133 |         33 |        104 |        270 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/Picture.js                                       | JavaScript |          9 |         17 |         18 |         44 |
| /Users/williamrhoda/Documents/Code/Projects/skenestunts_production/src/components/performerOptions.js                              | JavaScript |         21 |          9 |         21 |         51 |
